dataset,image,metric,lower_better,condition,time,score
deblurred_nb_ls_adhoc,0003_lp_dnn_5_truck_10_n04467665_34253,ssim,False,5,0.01010584831237793,0.5267457134045925
deblurred_nb_ls_adhoc,0004_lp_dnn_1_clock_10_n04548280_5320,ssim,False,1,0.010029792785644531,0.9088309450434975
deblurred_nb_ls_adhoc,0005_lp_dnn_3_dog_10_n02108915_3652,ssim,False,3,0.009956836700439453,0.7611581940350854
deblurred_nb_ls_adhoc,0006_lp_dnn_7_keyboard_10_n04505470_578,ssim,False,7,0.009847164154052734,0.4963268462795954
deblurred_nb_ls_adhoc,0007_lp_dnn_7_cat_10_n02123597_3842,ssim,False,7,0.009824037551879883,0.6841637976419609
deblurred_nb_ls_adhoc,0008_lp_dnn_1_bear_10_n02134418_14,ssim,False,1,0.009967803955078125,0.8843537633644724
deblurred_nb_ls_adhoc,0009_lp_dnn_10_knife_10_n03041632_29920,ssim,False,10,0.009888648986816406,0.5530835308137997
deblurred_nb_ls_adhoc,0010_lp_dnn_5_bird_10_n01795545_952,ssim,False,5,0.009644508361816406,0.5993173408159191
deblurred_nb_ls_adhoc,0011_lp_dnn_3_bear_10_n02132136_6441,ssim,False,3,0.00977635383605957,0.33713953940760916
deblurred_nb_ls_adhoc,0012_lp_dnn_3_bird_10_n01829413_8792,ssim,False,3,0.010025501251220703,0.7099120552745484
deblurred_nb_ls_adhoc,0013_lp_dnn_7_keyboard_10_n04505470_4458,ssim,False,7,0.009818315505981445,0.5517422040076062
deblurred_nb_ls_adhoc,0014_lp_dnn_10_chair_10_n03376595_9176,ssim,False,10,0.009698629379272461,0.15139195063023092
deblurred_nb_ls_adhoc,0017_lp_dnn_5_oven_10_n04111531_1580,ssim,False,5,0.009949207305908203,0.5111043537585758
deblurred_nb_ls_adhoc,0018_lp_dnn_1_elephant_10_n02504458_900,ssim,False,1,0.00984501838684082,0.8402723372110154
deblurred_nb_ls_adhoc,0019_lp_dnn_7_dog_10_n02106662_2384,ssim,False,7,0.008783102035522461,0.5186134348926087
deblurred_nb_ls_adhoc,0020_lp_dnn_10_truck_10_n03796401_22618,ssim,False,10,0.008526086807250977,0.5727326532661627
deblurred_nb_ls_adhoc,0021_lp_dnn_15_elephant_10_n02504013_5463,ssim,False,15,0.008585691452026367,0.23575885315317668
